Period,Payment,Channel,Dest Zone,Remarks,Count,State,Country
Mar W3,COD,APP,TIER 3,Verified Orders,24799,TAMIL NADU,India
Mar W3,COD,APP,TIER 3,Verified Orders,30943,TELANGANA,India
Mar W3,COD,APP,TIER 3,Verified Orders,23333,UTTARAKHAND,India
Mar W3,COD,APP,TIER 3,Verified Orders,35205,UTTARAKHAND,India
Mar W3,COD,APP,EAST,Verified Orders,79113,ORISSA,India
Mar W3,COD,M-Site,EAST,Verified Orders,5479,WEST BENGAL,India
Mar W3,COD,M-Site,EAST,Verified Orders,6201,WEST BENGAL,India
Mar W3,COD,M-Site,METRO,Verified Orders,6473,DELHI,India
Mar W3,COD,M-Site,METRO,Verified Orders,5783,DELHI,India
Mar W3,COD,M-Site,METRO,Verified Orders,8319,DELHI,India
Mar W3,COD,M-Site,METRO,Verified Orders,16354,HARYANA,India
Mar W3,COD,PC,METRO,Verified Orders,4473,HARYANA,India
Mar W3,COD,PC,METRO,Verified Orders,6209,HARYANA,India
Mar W3,COD,PC,METRO,Verified Orders,3139,HARYANA,India
Mar W3,COD,PC,METRO,Verified Orders,4591,KARNATAKA,India
Mar W3,COD,PC,METRO,Verified Orders,5892,KARNATAKA,India
Mar W3,COD,PC,METRO,Verified Orders,9264,KARNATAKA,India
Mar W3,STD,APP,METRO,Verified Orders,6708,MAHARASHTRA,India
Mar W3,STD,APP,METRO,Verified Orders,16571,MAHARASHTRA,India
Mar W3,STD,APP,METRO,Verified Orders,4578,TAMIL NADU,India
Mar W3,STD,APP,METRO,Verified Orders,11234,TAMIL NADU,India
Mar W3,STD,APP,METRO,Verified Orders,10620,TELANGANA,India
Mar W3,STD,APP,METRO,Verified Orders,22045,TELANGANA,India
Mar W3,STD,M-Site,METRO,Verified Orders,1125,UTTAR PRADESH,India
Mar W3,STD,M-Site,METRO,Verified Orders,2861,UTTAR PRADESH,India
Mar W3,STD,M-Site,METRO,Verified Orders,888,UTTAR PRADESH,India
Mar W3,STD,M-Site,TIER 1,Verified Orders,2110,ANDHRA PRADESH,India
Mar W3,STD,M-Site,TIER 1,Verified Orders,2002,ANDHRA PRADESH,India
Mar W3,STD,M-Site,TIER 1,Verified Orders,3677,GUJARAT,India
Mar W3,STD,PC,TIER 1,Verified Orders,2855,GUJARAT,India
Mar W3,STD,PC,TIER 1,Verified Orders,11070,HARYANA,India
Mar W3,STD,PC,TIER 1,Verified Orders,1265,KARNATAKA,India
Mar W3,STD,PC,TIER 1,Verified Orders,6380,KERALA,India
Mar W3,STD,PC,TIER 1,Verified Orders,4469,KERALA,India
Mar W3,STD,PC,TIER 1,Verified Orders,6923,MADHYA PRADESH,India
Apr W1,COD,APP,TIER 1,Verified Orders,30599,MAHARASHTRA,India
Apr W1,COD,APP,TIER 1,Verified Orders,27774,MAHARASHTRA,India
Apr W1,COD,APP,TIER 1,Verified Orders,39165,MAHARASHTRA,India
Apr W1,COD,APP,TIER 1,Verified Orders,25837,PONDICHERRY,India
Apr W1,COD,APP,TIER 1,Verified Orders,40086,RAJASTHAN,India
Apr W1,COD,APP,TIER 1,Verified Orders,89232,RAJASTHAN,India
Apr W1,COD,M-Site,TIER 1,Verified Orders,6747,TAMIL NADU,India
Apr W1,COD,M-Site,TIER 1,Verified Orders,7835,TAMIL NADU,India
Apr W1,COD,M-Site,TIER 1,Verified Orders,8771,TELANGANA,India
Apr W1,COD,M-Site,TIER 1,Verified Orders,7036,UTTAR PRADESH,India
Apr W1,COD,M-Site,TIER 1,Verified Orders,10634,UTTAR PRADESH,India
Apr W1,COD,M-Site,TIER 1,Verified Orders,20656,UTTARAKHAND,India
Apr W1,COD,PC,TIER 1,Verified Orders,4804,UTTARAKHAND,India
Apr W1,COD,PC,TIER 2,Verified Orders,6748,ANDHRA PRADESH,India
Apr W1,COD,PC,TIER 2,Verified Orders,3393,ANDHRA PRADESH,India
Apr W1,COD,PC,TIER 2,Verified Orders,4881,BIHAR,India
Apr W1,COD,PC,TIER 2,Verified Orders,5715,CHANDIGARH,India
Apr W1,COD,PC,TIER 2,Verified Orders,9761,CHANDIGARH,India
Apr W1,STD,APP,TIER 2,Verified Orders,8539,CHHATTISGARH,India
Apr W1,STD,APP,TIER 2,Verified Orders,22076,DAMAN & DIU,India
Apr W1,STD,APP,TIER 2,Verified Orders,5083,GOA,India
Apr W1,STD,APP,TIER 2,Verified Orders,14392,GOA,India
Apr W1,STD,APP,TIER 2,Verified Orders,13141,GUJARAT,India
Apr W1,STD,APP,TIER 2,Verified Orders,24594,HARYANA,India
Apr W1,STD,M-Site,TIER 2,Verified Orders,1218,HARYANA,India
Apr W1,STD,M-Site,TIER 2,Verified Orders,3558,HIMACHAL PRADESH,India
Apr W1,STD,M-Site,TIER 2,Verified Orders,922,HIMACHAL PRADESH,India
Apr W1,STD,M-Site,TIER 2,Verified Orders,2303,KARNATAKA,India
Apr W1,STD,M-Site,TIER 2,Verified Orders,2261,KARNATAKA,India
Apr W1,STD,M-Site,TIER 2,Verified Orders,4019,KERALA,India
Apr W1,STD,PC,TIER 2,Verified Orders,3417,MADHYA PRADESH,India
Apr W1,STD,PC,TIER 2,Verified Orders,13386,MAHARASHTRA,India
Apr W1,STD,PC,TIER 2,Verified Orders,1375,MAHARASHTRA,India
Apr W1,STD,PC,TIER 2,Verified Orders,7463,MAHARASHTRA,India
Apr W1,STD,PC,TIER 2,Verified Orders,4685,PUNJAB,India
Apr W1,STD,PC,TIER 2,Verified Orders,6976,RAJASTHAN,India
Apr W2,COD,APP,TIER 2,Verified Orders,29975,RAJASTHAN,India
Apr W2,COD,APP,TIER 2,Verified Orders,28327,TAMIL NADU,India
Apr W2,COD,APP,TIER 2,Verified Orders,35091,TAMIL NADU,India
Apr W2,COD,APP,TIER 2,Verified Orders,26336,TELANGANA,India
Apr W2,COD,APP,TIER 2,Verified Orders,40260,UTTAR PRADESH,India
Apr W2,COD,APP,TIER 2,Verified Orders,87045,UTTAR PRADESH,India
Apr W2,COD,M-Site,TIER 2,Verified Orders,6523,UTTARAKHAND,India
Apr W2,COD,M-Site,TIER 3,Verified Orders,7417,ANDHRA PRADESH,India
Apr W2,COD,M-Site,TIER 3,Verified Orders,7631,ANDHRA PRADESH,India
Apr W2,COD,M-Site,TIER 3,Verified Orders,7036,BIHAR,India
Apr W2,COD,M-Site,TIER 3,Verified Orders,10513,BIHAR,India
Apr W2,COD,M-Site,TIER 3,Verified Orders,19883,CHHATTISGARH,India
Apr W2,COD,PC,TIER 3,Verified Orders,4731,CHHATTISGARH,India
Apr W2,COD,PC,TIER 3,Verified Orders,6594,GUJARAT,India
Apr W2,COD,PC,TIER 3,Verified Orders,2851,GUJARAT,India
Apr W2,COD,PC,TIER 3,Verified Orders,4680,HARYANA,India
Apr W2,COD,PC,TIER 3,Verified Orders,5447,HARYANA,India
Apr W2,COD,PC,TIER 3,Verified Orders,9397,HIMACHAL PRADESH,India
Apr W2,STD,APP,TIER 3,Verified Orders,7478,HIMACHAL PRADESH,India
Apr W2,STD,APP,TIER 3,Verified Orders,18257,JAMMU & KASHMIR,India
Apr W2,STD,APP,TIER 3,Verified Orders,4528,JAMMU & KASHMIR,India
Apr W2,STD,APP,TIER 3,Verified Orders,12474,KARNATAKA,India
Apr W2,STD,APP,TIER 3,Verified Orders,11612,KARNATAKA,India
Apr W2,STD,APP,TIER 3,Verified Orders,21975,KERALA,India
Apr W2,STD,M-Site,TIER 3,Verified Orders,1200,MAHARASHTRA,India
Apr W2,STD,M-Site,TIER 3,Verified Orders,3059,MAHARASHTRA,India
Apr W2,STD,M-Site,TIER 3,Verified Orders,854,MAHARASHTRA,India
Apr W2,STD,M-Site,TIER 3,Verified Orders,2138,PONDICHERRY,India
Apr W2,STD,M-Site,TIER 3,Verified Orders,2065,PUNJAB,India
Apr W2,STD,M-Site,TIER 3,Verified Orders,3660,PUNJAB,India
Apr W2,STD,PC,TIER 3,Verified Orders,2868,RAJASTHAN,India
Apr W2,STD,PC,TIER 3,Verified Orders,11202,RAJASTHAN,India
Apr W2,STD,PC,TIER 3,Verified Orders,1127,TAMIL NADU,India
Apr W2,STD,PC,TIER 3,Verified Orders,5712,TAMIL NADU,India
Apr W2,STD,PC,TIER 3,Verified Orders,4198,TELANGANA,India
Apr W2,STD,PC,TIER 3,Verified Orders,6151,TELANGANA,India
Mar W4,COD,APP,TIER 3,Verified Orders,42334,UTTAR PRADESH,India
Mar W4,COD,APP,TIER 3,Verified Orders,36880,UTTAR PRADESH,India
Mar W4,COD,APP,TIER 3,Verified Orders,49984,UTTARAKHAND,India
Mar W4,COD,APP,EAST,Verified Orders,34298,ORISSA,India
Mar W4,COD,APP,EAST,Verified Orders,55363,WEST BENGAL,India
Mar W4,COD,APP,EAST,Verified Orders,123357,WEST BENGAL,India
Mar W4,COD,M-Site,METRO,Verified Orders,8908,GUJARAT,India
Mar W4,COD,M-Site,METRO,Verified Orders,9085,HARYANA,India
Mar W4,COD,M-Site,METRO,Verified Orders,10809,HARYANA,India
Mar W4,COD,M-Site,METRO,Verified Orders,8636,KARNATAKA,India
Mar W4,COD,M-Site,METRO,Verified Orders,13177,MAHARASHTRA,India
Mar W4,COD,M-Site,METRO,Verified Orders,25842,UTTAR PRADESH,India
Mar W4,COD,PC,TIER 1,Verified Orders,7054,ANDHRA PRADESH,India
Mar W4,COD,PC,TIER 1,Verified Orders,9321,CHANDIGARH,India
Mar W4,COD,PC,TIER 1,Verified Orders,4823,CHANDIGARH,India
Mar W4,COD,PC,TIER 1,Verified Orders,6967,GUJARAT,India
Mar W4,COD,PC,TIER 1,Verified Orders,8328,KERALA,India
Mar W4,COD,PC,TIER 1,Verified Orders,14105,MADHYA PRADESH,India
Mar W4,STD,APP,TIER 1,Verified Orders,9682,MAHARASHTRA,India
Mar W4,STD,APP,TIER 1,Verified Orders,23861,MAHARASHTRA,India
Mar W4,STD,APP,TIER 1,Verified Orders,6216,PONDICHERRY,India
Mar W4,STD,APP,TIER 1,Verified Orders,16005,UTTAR PRADESH,India
Mar W4,STD,APP,TIER 1,Verified Orders,15475,UTTARAKHAND,India
Mar W4,STD,APP,TIER 2,Verified Orders,29630,ANDHRA PRADESH,India
Mar W4,STD,M-Site,TIER 2,Verified Orders,1505,ANDHRA PRADESH,India
Mar W4,STD,M-Site,TIER 2,Verified Orders,4593,BIHAR,India
Mar W4,STD,M-Site,TIER 2,Verified Orders,1203,BIHAR,India
Mar W4,STD,M-Site,TIER 2,Verified Orders,2778,CHANDIGARH,India
Mar W4,STD,M-Site,TIER 2,Verified Orders,2518,CHHATTISGARH,India
Mar W4,STD,M-Site,TIER 2,Verified Orders,4953,DAMAN & DIU,India
Mar W4,STD,PC,TIER 2,Verified Orders,4241,GOA,India
Mar W4,STD,PC,TIER 2,Verified Orders,15589,GUJARAT,India
Mar W4,STD,PC,TIER 2,Verified Orders,1903,HARYANA,India
Mar W4,STD,PC,TIER 2,Verified Orders,9060,HIMACHAL PRADESH,India
Mar W4,STD,PC,TIER 2,Verified Orders,6093,HIMACHAL PRADESH,India
Mar W4,STD,PC,TIER 2,Verified Orders,9607,KARNATAKA,India
Feb W1,COD,APP,TIER 2,Pre-Manifest,3179,KARNATAKA,India
Feb W1,COD,APP,TIER 2,Pre-Manifest,2912,KERALA,India
Feb W1,COD,APP,TIER 2,Pre-Manifest,2037,MADHYA PRADESH,India
Feb W1,COD,APP,TIER 2,Pre-Manifest,2657,MAHARASHTRA,India
Feb W1,COD,APP,TIER 2,Pre-Manifest,3962,TAMIL NADU,India
Feb W1,COD,APP,TIER 2,Pre-Manifest,8273,TELANGANA,India
Feb W1,COD,M-Site,TIER 2,Pre-Manifest,586,UTTAR PRADESH,India
Feb W1,COD,M-Site,TIER 2,Pre-Manifest,612,UTTAR PRADESH,India
Feb W1,COD,M-Site,TIER 3,Pre-Manifest,409,ANDHRA PRADESH,India
Feb W1,COD,M-Site,TIER 3,Pre-Manifest,622,ANDHRA PRADESH,India
Feb W1,COD,M-Site,TIER 3,Pre-Manifest,842,BIHAR,India
Feb W1,COD,M-Site,TIER 3,Pre-Manifest,1547,BIHAR,India
Feb W1,COD,PC,TIER 3,Pre-Manifest,355,CHHATTISGARH,India
Feb W1,COD,PC,TIER 3,Pre-Manifest,540,GUJARAT,India
Feb W1,COD,PC,TIER 3,Pre-Manifest,123,HARYANA,India
Feb W1,COD,PC,TIER 3,Pre-Manifest,369,HIMACHAL PRADESH,India
Feb W1,COD,PC,TIER 3,Pre-Manifest,434,JAMMU & KASHMIR,India
Feb W1,COD,PC,TIER 3,Pre-Manifest,696,JAMMU & KASHMIR,India
Feb W1,STD,APP,TIER 3,Pre-Manifest,265,KARNATAKA,India
Feb W1,STD,APP,TIER 3,Pre-Manifest,629,KARNATAKA,India
Feb W1,STD,APP,TIER 3,Pre-Manifest,123,KERALA,India
Feb W1,STD,APP,TIER 3,Pre-Manifest,436,MAHARASHTRA,India
Feb W1,STD,APP,TIER 3,Pre-Manifest,481,MAHARASHTRA,India
Feb W1,STD,APP,TIER 3,Pre-Manifest,792,PONDICHERRY,India
Feb W1,STD,M-Site,TIER 3,Pre-Manifest,39,PUNJAB,India
Feb W1,STD,M-Site,TIER 3,Pre-Manifest,86,RAJASTHAN,India
Feb W1,STD,M-Site,TIER 3,Pre-Manifest,17,RAJASTHAN,India
Feb W1,STD,M-Site,TIER 3,Pre-Manifest,81,TAMIL NADU,India
Feb W1,STD,M-Site,TIER 3,Pre-Manifest,68,TAMIL NADU,India
Feb W1,STD,M-Site,TIER 3,Pre-Manifest,136,TELANGANA,India
Feb W1,STD,PC,TIER 3,Pre-Manifest,90,UTTAR PRADESH,India
Feb W1,STD,PC,TIER 3,Pre-Manifest,310,UTTARAKHAND,India
Feb W1,STD,PC,TIER 3,Pre-Manifest,24,UTTARAKHAND,India
Feb W1,STD,PC,EAST,Pre-Manifest,179,ORISSA,India
Feb W1,STD,PC,EAST,Pre-Manifest,113,ORISSA,India
Feb W1,STD,PC,EAST,Pre-Manifest,161,WEST BENGAL,India
Feb W2,COD,APP,METRO,Pre-Manifest,2326,DELHI,India
Feb W2,COD,APP,METRO,Pre-Manifest,2309,HARYANA,India
Feb W2,COD,APP,METRO,Pre-Manifest,1853,KARNATAKA,India
Feb W2,COD,APP,METRO,Pre-Manifest,2033,KARNATAKA,India
Feb W2,COD,APP,METRO,Pre-Manifest,3095,MAHARASHTRA,India
Feb W2,COD,APP,METRO,Pre-Manifest,7224,MAHARASHTRA,India
Feb W2,COD,M-Site,METRO,Pre-Manifest,451,TAMIL NADU,India
Feb W2,COD,M-Site,METRO,Pre-Manifest,468,TELANGANA,India
Feb W2,COD,M-Site,METRO,Pre-Manifest,354,TELANGANA,India
Feb W2,COD,M-Site,TIER 1,Pre-Manifest,463,ANDHRA PRADESH,India
Feb W2,COD,M-Site,TIER 1,Pre-Manifest,628,GUJARAT,India
Feb W2,COD,M-Site,TIER 1,Pre-Manifest,1461,KERALA,India
Feb W2,COD,PC,TIER 1,Pre-Manifest,299,KERALA,India
Feb W2,COD,PC,TIER 1,Pre-Manifest,440,MADHYA PRADESH,India
Feb W2,COD,PC,TIER 1,Pre-Manifest,127,MAHARASHTRA,India
Feb W2,COD,PC,TIER 1,Pre-Manifest,282,MAHARASHTRA,India
Feb W2,COD,PC,TIER 1,Pre-Manifest,302,PUNJAB,India
Feb W2,COD,PC,TIER 1,Pre-Manifest,546,TAMIL NADU,India
Feb W2,STD,APP,TIER 1,Pre-Manifest,220,TAMIL NADU,India
Feb W2,STD,APP,TIER 1,Pre-Manifest,597,UTTAR PRADESH,India
Feb W2,STD,APP,TIER 1,Pre-Manifest,95,UTTAR PRADESH,India
Feb W2,STD,APP,TIER 2,Pre-Manifest,387,ANDHRA PRADESH,India
Feb W2,STD,APP,TIER 2,Pre-Manifest,364,ANDHRA PRADESH,India
Feb W2,STD,APP,TIER 2,Pre-Manifest,772,CHHATTISGARH,India
Feb W2,STD,M-Site,TIER 2,Pre-Manifest,39,GOA,India
Feb W2,STD,M-Site,TIER 2,Pre-Manifest,95,GOA,India
Feb W2,STD,M-Site,TIER 2,Pre-Manifest,15,GUJARAT,India
Feb W2,STD,M-Site,TIER 2,Pre-Manifest,67,HARYANA,India
Feb W2,STD,M-Site,TIER 2,Pre-Manifest,67,KARNATAKA,India
Feb W2,STD,M-Site,TIER 2,Pre-Manifest,89,KARNATAKA,India
Feb W2,STD,PC,TIER 2,Pre-Manifest,73,KERALA,India
Feb W2,STD,PC,TIER 2,Pre-Manifest,250,MADHYA PRADESH,India
Feb W2,STD,PC,TIER 2,Pre-Manifest,12,MAHARASHTRA,India
Feb W2,STD,PC,TIER 2,Pre-Manifest,122,MAHARASHTRA,India
Feb W2,STD,PC,TIER 2,Pre-Manifest,100,RAJASTHAN,India
Feb W2,STD,PC,TIER 2,Pre-Manifest,146,TAMIL NADU,India
Feb W3,COD,APP,TIER 2,Pre-Manifest,2170,TAMIL NADU,India
Feb W3,COD,APP,TIER 2,Pre-Manifest,1842,UTTAR PRADESH,India
Feb W3,COD,APP,TIER 2,Pre-Manifest,1523,UTTAR PRADESH,India
Feb W3,COD,APP,TIER 2,Pre-Manifest,1741,UTTARAKHAND,India
Feb W3,COD,APP,TIER 3,Pre-Manifest,2694,ANDHRA PRADESH,India
Feb W3,COD,APP,TIER 3,Pre-Manifest,6406,ANDHRA PRADESH,India
Feb W3,COD,M-Site,TIER 3,Pre-Manifest,435,CHHATTISGARH,India
Feb W3,COD,M-Site,TIER 3,Pre-Manifest,475,GUJARAT,India
Feb W3,COD,M-Site,TIER 3,Pre-Manifest,290,HARYANA,India
Feb W3,COD,M-Site,TIER 3,Pre-Manifest,410,HIMACHAL PRADESH,India
Feb W3,COD,M-Site,TIER 3,Pre-Manifest,551,HIMACHAL PRADESH,India
Feb W3,COD,M-Site,TIER 3,Pre-Manifest,1306,JAMMU & KASHMIR,India
Feb W3,COD,PC,TIER 3,Pre-Manifest,244,JAMMU & KASHMIR,India
Feb W3,COD,PC,TIER 3,Pre-Manifest,364,KARNATAKA,India
Feb W3,COD,PC,TIER 3,Pre-Manifest,108,KERALA,India
Feb W3,COD,PC,TIER 3,Pre-Manifest,275,MAHARASHTRA,India
Feb W3,COD,PC,TIER 3,Pre-Manifest,288,MAHARASHTRA,India
Feb W3,COD,PC,TIER 3,Pre-Manifest,531,PUNJAB,India
Feb W3,STD,APP,TIER 3,Pre-Manifest,201,RAJASTHAN,India
Feb W3,STD,APP,TIER 3,Pre-Manifest,478,TAMIL NADU,India
Feb W3,STD,APP,TIER 3,Pre-Manifest,103,TELANGANA,India
Feb W3,STD,APP,TIER 3,Pre-Manifest,348,TELANGANA,India
Feb W3,STD,APP,TIER 3,Pre-Manifest,320,UTTAR PRADESH,India
Feb W3,STD,APP,TIER 3,Pre-Manifest,629,UTTAR PRADESH,India
Feb W3,STD,M-Site,EAST,Pre-Manifest,40,ORISSA,India
Feb W3,STD,M-Site,EAST,Pre-Manifest,80,ORISSA,India
Feb W3,STD,M-Site,EAST,Pre-Manifest,16,WEST BENGAL,India
Feb W3,STD,M-Site,EAST,Pre-Manifest,45,WEST BENGAL,India
Feb W3,STD,M-Site,EAST,Pre-Manifest,57,WEST BENGAL,India
Feb W3,STD,M-Site,METRO,Pre-Manifest,120,DELHI,India
Feb W3,STD,PC,METRO,Pre-Manifest,54,DELHI,India
Feb W3,STD,PC,METRO,Pre-Manifest,245,DELHI,India
Feb W3,STD,PC,METRO,Pre-Manifest,10,GUJARAT,India
Feb W3,STD,PC,METRO,Pre-Manifest,100,HARYANA,India
Feb W3,STD,PC,METRO,Pre-Manifest,81,HARYANA,India
Feb W3,STD,PC,METRO,Pre-Manifest,119,HARYANA,India
Feb W4,COD,APP,METRO,Pre-Manifest,2583,HARYANA,India
Feb W4,COD,APP,METRO,Pre-Manifest,2190,KARNATAKA,India
Feb W4,COD,APP,METRO,Pre-Manifest,2114,MAHARASHTRA,India
Feb W4,COD,APP,METRO,Pre-Manifest,2020,MAHARASHTRA,India
Feb W4,COD,APP,METRO,Pre-Manifest,3175,MAHARASHTRA,India
Feb W4,COD,APP,METRO,Pre-Manifest,7755,TAMIL NADU,India
Feb W4,COD,M-Site,METRO,Pre-Manifest,435,TAMIL NADU,India
Feb W4,COD,M-Site,METRO,Pre-Manifest,402,TELANGANA,India
Feb W4,COD,M-Site,METRO,Pre-Manifest,331,TELANGANA,India
Feb W4,COD,M-Site,METRO,Pre-Manifest,375,UTTAR PRADESH,India
Feb W4,COD,M-Site,TIER 1,Pre-Manifest,547,ANDHRA PRADESH,India
Feb W4,COD,M-Site,TIER 1,Pre-Manifest,1389,ANDHRA PRADESH,India
Feb W4,COD,PC,TIER 1,Pre-Manifest,273,GUJARAT,India
Feb W4,COD,PC,TIER 1,Pre-Manifest,392,GUJARAT,India
Feb W4,COD,PC,TIER 1,Pre-Manifest,136,KARNATAKA,India
Feb W4,COD,PC,TIER 1,Pre-Manifest,274,KERALA,India
Feb W4,COD,PC,TIER 1,Pre-Manifest,297,MADHYA PRADESH,India
Feb W4,COD,PC,TIER 1,Pre-Manifest,563,MADHYA PRADESH,India
Feb W4,STD,APP,TIER 1,Pre-Manifest,216,MAHARASHTRA,India
Feb W4,STD,APP,TIER 1,Pre-Manifest,534,MAHARASHTRA,India
Feb W4,STD,APP,TIER 1,Pre-Manifest,90,MAHARASHTRA,India
Feb W4,STD,APP,TIER 1,Pre-Manifest,339,PONDICHERRY,India
Feb W4,STD,APP,TIER 1,Pre-Manifest,323,PUNJAB,India
Feb W4,STD,APP,TIER 1,Pre-Manifest,678,RAJASTHAN,India
Feb W4,STD,M-Site,TIER 1,Pre-Manifest,33,RAJASTHAN,India
Feb W4,STD,M-Site,TIER 1,Pre-Manifest,95,TAMIL NADU,India
Feb W4,STD,M-Site,TIER 1,Pre-Manifest,14,UTTAR PRADESH,India
Feb W4,STD,M-Site,TIER 1,Pre-Manifest,57,UTTAR PRADESH,India
Feb W4,STD,M-Site,TIER 1,Pre-Manifest,45,UTTAR PRADESH,India
Feb W4,STD,M-Site,TIER 1,Pre-Manifest,103,UTTARAKHAND,India
Feb W4,STD,PC,TIER 1,Pre-Manifest,50,UTTARAKHAND,India
Feb W4,STD,PC,TIER 2,Pre-Manifest,244,ANDHRA PRADESH,India
Feb W4,STD,PC,TIER 2,Pre-Manifest,15,ANDHRA PRADESH,India
Feb W4,STD,PC,TIER 2,Pre-Manifest,151,BIHAR,India
Feb W4,STD,PC,TIER 2,Pre-Manifest,72,CHANDIGARH,India
Feb W4,STD,PC,TIER 2,Pre-Manifest,101,CHHATTISGARH,India
Jan W1,COD,APP,TIER 2,Pre-Manifest,9136,CHHATTISGARH,India
Jan W1,COD,APP,TIER 2,Pre-Manifest,10703,DADRA & NAGAR HAVELI,India
Jan W1,COD,APP,TIER 2,Pre-Manifest,5117,DAMAN & DIU,India
Jan W1,COD,APP,TIER 2,Pre-Manifest,8701,GOA,India
Jan W1,COD,APP,TIER 2,Pre-Manifest,13250,GUJARAT,India
Jan W1,COD,APP,TIER 2,Pre-Manifest,27579,HARYANA,India
Jan W1,COD,M-Site,TIER 2,Pre-Manifest,2045,HARYANA,India
Jan W1,COD,M-Site,TIER 2,Pre-Manifest,2646,HIMACHAL PRADESH,India
Jan W1,COD,M-Site,TIER 2,Pre-Manifest,1152,KARNATAKA,India
Jan W1,COD,M-Site,TIER 2,Pre-Manifest,2428,KARNATAKA,India
Jan W1,COD,M-Site,TIER 2,Pre-Manifest,3428,KERALA,India
Jan W1,COD,M-Site,TIER 2,Pre-Manifest,6316,MADHYA PRADESH,India
Jan W1,COD,PC,TIER 2,Pre-Manifest,1352,MAHARASHTRA,India
Jan W1,COD,PC,TIER 2,Pre-Manifest,2215,MAHARASHTRA,India
Jan W1,COD,PC,TIER 2,Pre-Manifest,415,PUNJAB,India
Jan W1,COD,PC,TIER 2,Pre-Manifest,1581,RAJASTHAN,India
Jan W1,COD,PC,TIER 2,Pre-Manifest,1739,RAJASTHAN,India
Jan W1,COD,PC,TIER 2,Pre-Manifest,2717,RAJASTHAN,India
Jan W1,STD,APP,TIER 2,Pre-Manifest,945,TAMIL NADU,India
Jan W1,STD,APP,TIER 2,Pre-Manifest,2307,TAMIL NADU,India
Jan W1,STD,APP,TIER 2,Pre-Manifest,318,TELANGANA,India
Jan W1,STD,APP,TIER 2,Pre-Manifest,1698,UTTAR PRADESH,India
Jan W1,STD,APP,TIER 2,Pre-Manifest,1748,UTTAR PRADESH,India
Jan W1,STD,APP,TIER 2,Pre-Manifest,2934,UTTARAKHAND,India
Jan W1,STD,M-Site,TIER 2,Pre-Manifest,163,UTTARAKHAND,India
Jan W1,STD,M-Site,TIER 3,Pre-Manifest,417,ANDHRA PRADESH,India
Jan W1,STD,M-Site,TIER 3,Pre-Manifest,63,ANDHRA PRADESH,India
Jan W1,STD,M-Site,TIER 3,Pre-Manifest,317,BIHAR,India
Jan W1,STD,M-Site,TIER 3,Pre-Manifest,340,GUJARAT,India
Jan W1,STD,M-Site,TIER 3,Pre-Manifest,486,HARYANA,India
Jan W1,STD,PC,TIER 3,Pre-Manifest,380,HARYANA,India
Jan W1,STD,PC,TIER 3,Pre-Manifest,1523,HIMACHAL PRADESH,India
Jan W1,STD,PC,TIER 3,Pre-Manifest,49,JAMMU & KASHMIR,India
Jan W1,STD,PC,TIER 3,Pre-Manifest,897,JAMMU & KASHMIR,India
Jan W1,STD,PC,TIER 3,Pre-Manifest,607,KARNATAKA,India
Jan W1,STD,PC,TIER 3,Pre-Manifest,819,KERALA,India
Jan W2,COD,APP,TIER 3,Pre-Manifest,9645,MAHARASHTRA,India
Jan W2,COD,APP,TIER 3,Pre-Manifest,10899,MAHARASHTRA,India
Jan W2,COD,APP,TIER 3,Pre-Manifest,4514,PUNJAB,India
Jan W2,COD,APP,TIER 3,Pre-Manifest,9073,PUNJAB,India
Jan W2,COD,APP,TIER 3,Pre-Manifest,13425,RAJASTHAN,India
Jan W2,COD,APP,TIER 3,Pre-Manifest,25186,TAMIL NADU,India
Jan W2,COD,M-Site,TIER 3,Pre-Manifest,2473,TAMIL NADU,India
Jan W2,COD,M-Site,TIER 3,Pre-Manifest,3178,TELANGANA,India
Jan W2,COD,M-Site,TIER 3,Pre-Manifest,1091,UTTAR PRADESH,India
Jan W2,COD,M-Site,TIER 3,Pre-Manifest,2779,UTTAR PRADESH,India
Jan W2,COD,M-Site,TIER 3,Pre-Manifest,3823,UTTARAKHAND,India
Jan W2,COD,M-Site,EAST,Pre-Manifest,6580,ORISSA,India
Jan W2,COD,PC,EAST,Pre-Manifest,1692,WEST BENGAL,India
Jan W2,COD,PC,METRO,Pre-Manifest,2402,DELHI,India
Jan W2,COD,PC,METRO,Pre-Manifest,375,DELHI,India
Jan W2,COD,PC,METRO,Pre-Manifest,1772,DELHI,India
Jan W2,COD,PC,METRO,Pre-Manifest,1858,GUJARAT,India
Jan W2,COD,PC,METRO,Pre-Manifest,2765,HARYANA,India
Jan W2,STD,APP,METRO,Pre-Manifest,1233,KARNATAKA,India
Jan W2,STD,APP,METRO,Pre-Manifest,3911,KARNATAKA,India
Jan W2,STD,APP,METRO,Pre-Manifest,297,MAHARASHTRA,India
Jan W2,STD,APP,METRO,Pre-Manifest,2394,MAHARASHTRA,India
Jan W2,STD,APP,METRO,Pre-Manifest,2246,TELANGANA,India
Jan W2,STD,APP,METRO,Pre-Manifest,3327,TELANGANA,India
Jan W2,STD,M-Site,TIER 1,Pre-Manifest,199,GUJARAT,India
Jan W2,STD,M-Site,TIER 1,Pre-Manifest,666,KERALA,India
Jan W2,STD,M-Site,TIER 1,Pre-Manifest,66,MADHYA PRADESH,India
Jan W2,STD,M-Site,TIER 1,Pre-Manifest,451,MAHARASHTRA,India
